2018 Rank,City,State,2018 Estimate,2010 Census,Change (%),2016 Land Area (sq mi),2016 Land Area (km2),2016 Population Density (sq mi),2016 Population Density (km2),Location (N),Location (W)
1,New York City,New York,8398748.0,8175133.0,2.74,301.5,780.9,28317.0,10933.0,40.6635,73.9387
2,Los Angeles,California,3990456.0,3792621.0,5.22,468.7,1213.9,8484.0,3276.0,34.0194,118.4108
3,Chicago,Illinois,2705994.0,2695598.0,0.39,227.3,588.7,11900.0,4600.0,41.8376,87.6818
4,Houston,Texas,2325502.0,2100263.0,10.72,637.5,1651.1,3613.0,1395.0,29.7866,95.3909
5,Phoenix,Arizona,1660272.0,1445632.0,14.85,517.6,1340.6,3120.0,1200.0,33.5722,112.0901
6,Philadelphia,Pennsylvania,1584138.0,1526006.0,3.81,134.2,347.6,11683.0,4511.0,40.0094,75.1333
7,San Antonio,Texas,1532233.0,1327407.0,15.43,461.0,1194.0,3238.0,1250.0,29.4724,98.5251
8,San Diego,California,1425976.0,1307402.0,9.07,325.2,842.3,4325.0,1670.0,32.8153,117.135
9,Dallas,Texas,1345047.0,1197816.0,12.29,340.9,882.9,3866.0,1493.0,32.7933,96.7665
10,San Jose,California,1030119.0,945942.0,8.9,177.5,459.7,5777.0,2231.0,37.2967,121.8189
11,Austin,Texas,964254.0,790390.0,22.0,312.7,809.9,3031.0,1170.0,30.3039,97.7544
12,Jacksonville,Florida,903889.0,821784.0,9.99,747.4,1935.8,1178.0,455.0,30.3369,81.6616
13,Fort Worth,Texas,895008.0,741206.0,20.75,342.9,888.1,2491.0,962.0,32.7815,97.3467
14,Columbus,Ohio,892533.0,787033.0,13.4,218.5,565.9,3936.0,1520.0,39.9852,82.9848
15,San Francisco,California,883305.0,805235.0,9.7,46.9,121.5,18569.0,7170.0,37.7272,123.0322
16,Charlotte,North Carolina,872498.0,731424.0,19.29,305.4,791.0,2757.0,1064.0,35.2078,80.831
17,Indianapolis,Indiana,867125.0,820445.0,5.69,361.5,936.3,2366.0,914.0,39.7767,86.1459
18,Seattle,Washington,744955.0,608660.0,22.39,83.8,217.0,8405.0,3245.0,47.6205,122.3509
19,Denver,Colorado,716492.0,600158.0,19.38,153.3,397.0,4521.0,1746.0,39.7619,104.8811
20,"Washington, D.C.",District of Columbia,702455.0,601723.0,16.74,61.1,158.2,11148.0,4304.0,38.9041,77.0172
21,Boston,Massachusetts,694583.0,617594.0,12.47,48.3,125.1,13938.0,5381.0,42.332,71.0202
22,El Paso,Texas,682669.0,649121.0,5.17,256.8,665.1,2660.0,1030.0,31.8484,106.427
23,Detroit,Michigan,672662.0,713777.0,-5.76,138.8,359.5,4847.0,1871.0,42.383,83.1022
24,Nashville,Tennessee,669053.0,601222.0,11.28,475.9,1232.6,1388.0,536.0,36.1718,86.785
25,Portland,Oregon,653115.0,583776.0,11.88,133.5,345.8,4793.0,1851.0,45.537,122.65
26,Memphis,Tennessee,650618.0,646889.0,0.58,317.4,822.1,2056.0,794.0,35.1028,89.9774
27,Oklahoma City,Oklahoma,649021.0,579999.0,11.9,606.3,1570.3,1053.0,407.0,35.4671,97.5137
28,Las Vegas,Nevada,644644.0,583756.0,10.43,134.4,348.1,4709.0,1818.0,36.2292,115.2601
29,Louisville,Kentucky,620118.0,597337.0,3.81,263.5,682.5,2339.0,903.0,38.1654,85.6474
30,Baltimore,Maryland,602495.0,620961.0,-2.97,80.9,209.5,7598.0,2934.0,39.3,76.6105
31,Milwaukee,Wisconsin,592025.0,594833.0,-0.47,96.2,249.2,6186.0,2388.0,43.0633,87.9667
32,Albuquerque,New Mexico,560218.0,545852.0,2.63,188.2,487.4,2972.0,1147.0,35.1056,106.6474
33,Tucson,Arizona,545975.0,520116.0,4.97,230.8,597.8,2299.0,888.0,32.1531,110.8706
34,Fresno,California,530093.0,494665.0,7.16,114.4,296.3,4563.0,1762.0,36.7836,119.7934
35,Mesa,Arizona,508958.0,439041.0,15.92,137.9,357.2,3514.0,1357.0,33.4019,111.7174
36,Sacramento,California,508529.0,466488.0,9.01,97.9,253.6,5059.0,1953.0,38.5666,121.4686
37,Atlanta,Georgia,498044.0,420003.0,18.58,133.5,345.8,3539.0,1366.0,33.7629,84.4227
38,Kansas City,Missouri,491918.0,459787.0,6.99,315.0,815.8,1528.0,590.0,39.1251,94.551
39,Colorado Springs,Colorado,472688.0,416427.0,13.51,195.6,506.6,2378.0,918.0,38.8673,104.7607
40,Miami,Florida,470914.0,399457.0,17.89,36.0,93.2,12599.0,4865.0,25.7752,80.2086
41,Raleigh,North Carolina,469298.0,403892.0,16.19,145.1,375.8,3163.0,1221.0,35.8306,78.6418
42,Omaha,Nebraska,468262.0,408958.0,14.5,133.2,345.0,3356.0,1296.0,41.2644,96.0451
43,Long Beach,California,467354.0,462257.0,1.1,50.3,130.3,9347.0,3609.0,33.8092,118.1553
44,Virginia Beach,Virginia,450189.0,437994.0,2.78,244.7,633.8,1850.0,710.0,36.78,76.0252
45,Oakland,California,429082.0,390724.0,9.82,55.9,144.8,7514.0,2901.0,37.7698,122.2257
46,Minneapolis,Minnesota,425403.0,382578.0,11.19,54.0,139.9,7660.0,2960.0,44.9633,93.2683
47,Tulsa,Oklahoma,400669.0,391906.0,2.24,196.8,509.7,2048.0,791.0,36.1279,95.9023
48,Arlington,Texas,398112.0,365438.0,8.94,95.8,248.1,4100.0,1600.0,32.7007,97.1247
49,Tampa,Florida,392890.0,335709.0,17.03,113.4,293.7,3326.0,1284.0,27.9701,82.4797
50,New Orleans,Louisiana,391006.0,343829.0,13.72,169.4,438.7,2311.0,892.0,30.0534,89.9345
51,Wichita,Kansas,389255.0,382368.0,1.8,160.4,415.4,2431.0,939.0,37.6907,97.3459
52,Cleveland,Ohio,383793.0,396815.0,-3.28,77.7,201.2,4965.0,1917.0,41.4785,81.6794
53,Bakersfield,California,383579.0,347483.0,10.39,148.8,385.4,2529.0,976.0,35.3212,119.0183
54,Aurora,Colorado,374114.0,325078.0,15.08,153.5,397.6,2356.0,910.0,39.688,104.6897
55,Anaheim,California,352005.0,336265.0,4.68,50.0,129.5,7021.0,2711.0,33.8555,117.7601
56,Honolulu,Hawaii,347397.0,337256.0,3.01,60.5,156.7,5815.0,2245.0,21.3243,157.8476
57,Santa Ana,California,332725.0,324528.0,2.53,27.1,70.2,12333.0,4762.0,33.7363,117.883
58,Riverside,California,330063.0,303871.0,8.62,81.2,210.3,3999.0,1544.0,33.9381,117.3932
59,Corpus Christi,Texas,326554.0,305215.0,6.99,174.6,452.2,1866.0,720.0,27.7543,97.1734
60,Lexington,Kentucky,323780.0,295803.0,9.46,283.6,734.5,1123.0,434.0,38.0407,84.4583
61,Stockton,California,311178.0,291707.0,6.67,61.7,159.8,4977.0,1922.0,37.9763,121.3133
62,Henderson,Nevada,310390.0,257729.0,20.43,104.7,271.2,2798.0,1080.0,36.0097,115.0357
63,Saint Paul,Minnesota,307695.0,285068.0,7.94,52.0,134.7,5815.0,2245.0,44.9489,93.1041
64,St. Louis,Missouri,302838.0,319294.0,-5.15,62.0,160.6,5023.0,1939.0,38.6357,90.2446
65,Cincinnati,Ohio,302605.0,296943.0,1.91,77.4,200.5,3860.0,1490.0,39.1402,84.5058
66,Pittsburgh,Pennsylvania,301048.0,305704.0,-1.52,55.4,143.5,5481.0,2116.0,40.4398,79.9766
67,Greensboro,North Carolina,294722.0,269666.0,9.29,128.3,332.3,2237.0,864.0,36.0951,79.827
68,Anchorage,Alaska,291538.0,291826.0,-0.1,1706.6,4420.1,175.0,68.0,61.1743,149.2843
69,Plano,Texas,288061.0,259841.0,10.86,71.7,185.7,3990.0,1540.0,33.0508,96.7479
70,Lincoln,Nebraska,287401.0,258379.0,11.23,92.1,238.5,3044.0,1175.0,40.8105,96.6803
71,Orlando,Florida,285713.0,238300.0,19.9,105.2,272.5,2635.0,1017.0,28.4166,81.2736
72,Irvine,California,282572.0,212375.0,33.05,65.6,169.9,4057.0,1566.0,33.6784,117.7713
73,Newark,New Jersey,282090.0,277140.0,1.79,24.1,62.4,11691.0,4514.0,40.7242,74.1726
74,Toledo,Ohio,274975.0,287208.0,-4.26,80.7,209.0,3451.0,1332.0,41.6641,83.5819
75,Durham,North Carolina,274291.0,228330.0,20.13,109.8,284.4,2395.0,925.0,35.9811,78.9029
76,Chula Vista,California,271651.0,243916.0,11.37,49.6,128.5,5387.0,2080.0,32.6277,117.0152
77,Fort Wayne,Indiana,267633.0,253691.0,5.5,110.6,286.5,2391.0,923.0,41.0882,85.1439
78,Jersey City,New Jersey,265549.0,247597.0,7.25,14.8,38.3,17848.0,6891.0,40.7114,74.0648
79,St. Petersburg,Florida,265098.0,244769.0,8.31,61.8,160.1,4223.0,1631.0,27.762,82.6441
80,Laredo,Texas,261639.0,236091.0,10.82,101.1,261.8,2544.0,982.0,27.5604,99.4892
81,Madison,Wisconsin,258054.0,233209.0,10.65,77.0,199.4,3280.0,1270.0,43.0878,89.4299
82,Chandler,Arizona,257165.0,236123.0,8.91,64.9,168.1,3813.0,1472.0,33.2829,111.8549
83,Buffalo,New York,256304.0,261310.0,-1.92,40.4,104.6,6359.0,2455.0,42.8925,78.8597
84,Lubbock,Texas,255885.0,229573.0,11.46,124.6,322.7,2027.0,783.0,33.5656,101.8867
85,Scottsdale,Arizona,255310.0,217385.0,17.45,183.9,476.3,1341.0,518.0,33.6843,111.8611
86,Reno,Nevada,250998.0,225221.0,11.45,107.3,277.9,2286.0,883.0,39.5491,119.8499
87,Glendale,Arizona,250702.0,226721.0,10.58,59.1,153.1,4161.0,1607.0,33.5331,112.1899
88,Gilbert,Arizona,248279.0,208453.0,19.11,68.0,176.1,3487.0,1346.0,33.3103,111.7431
89,Winston–Salem,North Carolina,246328.0,229617.0,7.28,132.5,343.2,1828.0,706.0,36.1027,80.261
90,North Las Vegas,Nevada,245949.0,216961.0,13.36,98.0,253.8,2436.0,941.0,36.2857,115.0939
91,Norfolk,Virginia,244076.0,242803.0,0.52,53.3,138.0,4599.0,1776.0,36.923,76.2446
92,Chesapeake,Virginia,242634.0,222209.0,9.19,338.5,876.7,703.0,271.0,36.6794,76.3018
93,Garland,Texas,242507.0,226876.0,6.89,57.0,147.6,4122.0,1592.0,32.9098,96.6303
94,Irving,Texas,242242.0,216290.0,12.0,67.0,173.5,3557.0,1373.0,32.8577,96.97
95,Hialeah,Florida,238942.0,224669.0,6.35,21.5,55.7,10995.0,4245.0,25.8699,80.3029
96,Fremont,California,237807.0,214089.0,11.08,77.5,200.7,3008.0,1161.0,37.4945,121.9412
97,Boise,Idaho,228790.0,205671.0,11.24,82.1,212.6,2718.0,1049.0,43.6002,116.2317
98,Richmond,Virginia,228783.0,204214.0,12.03,59.8,154.9,3732.0,1441.0,37.5314,77.476
99,Baton Rouge,Louisiana,221599.0,229493.0,-3.44,85.9,222.5,2651.0,1024.0,30.4422,91.1309
100,Spokane,Washington,219190.0,208916.0,4.92,68.7,177.9,3144.0,1214.0,47.6669,117.4333
101,Des Moines,Iowa,216853.0,203433.0,6.6,88.9,230.2,2424.0,936.0,41.5726,93.6102
102,Tacoma,Washington,216279.0,198397.0,9.01,49.7,128.7,4251.0,1641.0,47.2522,122.4598
103,San Bernardino,California,215941.0,209924.0,2.87,61.5,159.3,3516.0,1358.0,34.1416,117.2936
104,Modesto,California,215030.0,201165.0,6.89,43.0,111.4,4934.0,1905.0,37.6375,121.003
105,Fontana,California,213739.0,196069.0,9.01,43.0,111.4,4876.0,1883.0,34.109,117.4629
106,Santa Clarita,California,210089.0,176320.0,19.15,52.8,136.8,3446.0,1331.0,34.403,118.5042
107,Birmingham,Alabama,209880.0,212237.0,-1.11,146.1,378.4,1452.0,561.0,33.5274,86.799
108,Oxnard,California,209877.0,197899.0,6.05,26.9,69.7,7729.0,2984.0,34.2023,119.2046
109,Fayetteville,North Carolina,209468.0,200564.0,4.44,147.7,382.5,1386.0,535.0,35.0828,78.9735
110,Moreno Valley,California,209050.0,193365.0,8.11,51.3,132.9,4006.0,1547.0,33.9233,117.2057
111,Rochester,New York,206284.0,210565.0,-2.03,35.8,92.7,5835.0,2253.0,43.1699,77.6169
112,Glendale,California,201361.0,191719.0,5.03,30.4,78.7,6606.0,2551.0,34.1814,118.2458
113,Huntington Beach,California,200641.0,189992.0,5.6,26.9,69.7,7459.0,2880.0,33.6906,118.0093
114,Salt Lake City,Utah,200591.0,186440.0,7.59,111.2,288.0,1742.0,673.0,40.7769,111.931
115,Grand Rapids,Michigan,200217.0,188040.0,6.48,44.4,115.0,4424.0,1708.0,42.9612,85.6556
116,Amarillo,Texas,199924.0,190695.0,4.84,101.4,262.6,1968.0,760.0,35.1999,101.8302
117,Yonkers,New York,199663.0,195976.0,1.88,18.0,46.6,11156.0,4307.0,40.9459,73.8674
118,Aurora,Illinois,199602.0,197899.0,0.86,44.9,116.3,4479.0,1729.0,41.7635,88.2901
119,Montgomery,Alabama,198218.0,205764.0,-3.67,159.8,413.9,1252.0,483.0,32.3472,86.2661
120,Akron,Ohio,198006.0,199110.0,-0.55,62.0,160.6,3188.0,1231.0,41.0805,81.5214
121,Little Rock,Arkansas,197881.0,193524.0,2.25,118.7,307.4,1673.0,646.0,34.7254,92.3586
122,Huntsville,Alabama,197318.0,180105.0,9.56,213.4,552.7,905.0,349.0,34.699,86.673
123,Augusta,Georgia,196939.0,195844.0,0.56,302.5,783.5,652.0,252.0,33.3655,82.0734
124,Port St. Lucie,Florida,195248.0,164603.0,18.62,118.9,307.9,1557.0,601.0,27.2806,80.3883
125,Grand Prairie,Texas,194614.0,175396.0,10.96,72.3,187.3,2637.0,1018.0,32.6869,97.0211
126,Columbus,Georgia,194160.0,189885.0,2.25,216.4,560.5,913.0,353.0,32.5102,84.8749
